BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
PC-KLD-PATHWAY,false,Allowed,"Matter pathway shell: Nebula ECA with promotion to RelativityOne Review, including staging, RelOne extenders, eDiscovery AI, professional services, and media.",,Bundle,true,true,false,Nebula ECA to RelOne,KLD-PATH-NEB-R1,,,KLD-PATH-NEB-R1,Bundle,
PC-KLD-SETUP,false,,Per-GB transactional matter setup fee applied at matter initiation.,,Services,true,true,false,Transactional Matter Set Up Fee,KLD-SETUP-MATTER-GB,GB,,KLD-SETUP-MATTER-GB,,GB
PC-KLD-HOST,false,,One-time per GB fee for project staging of source data prior to ECA/processing.,,Services,true,true,false,Staging,KLD-STAGING,GB,,KLD-STAGING,,GB
PC-KLD-HOST,false,,"Nebula Processing/Early Case Assessment repository hosting providing access to processed data for filtering before promotion to Review. Supports up to 10 concurrent users per repository; accommodates datasets up to 50 million documents; allows 10,000 unique document views per month.",,Software,true,true,false,Nebula ECA Hosting,KLD-NEB-ECA-HOST,,,KLD-NEB-ECA-HOST,,GB-MO
PC-KLD-HOST,false,,"Includes promotion of identified files from the underlying Processing/ECA repository, hosting, and analytics for data promoted to active RelativityOne Review. User license and unlimited analytics are included.",,Software,true,true,false,RelOne Review,KLD-R1-REVIEW,,,KLD-R1-REVIEW,,GB-MO
PC-KLD-HOST,false,,Long-term archival storage tier for inactive RelativityOne workspaces with no user access while data remains retained.,,Software,true,true,false,Cold Storage - No Access,KLD-R1-COLD,,,KLD-R1-COLD,,GB-MO
PC-KLD-FORENS,false,,"Time for onsite forensic collection of computers, servers, mobile devices, and external media.",,Services,true,true,false,Forensic Data Collection,KLD-FOR-COLL,h,,KLD-FOR-COLL,,h
PC-KLD-FORENS,false,,"Lab-based remote forensic collection, including sources such as Microsoft 365, social media, and webmail.",,Services,true,true,false,Remote Forensic Data Collection,KLD-FOR-RCOLL,h,,KLD-FOR-RCOLL,,h
PC-KLD-FORENS,false,,"Onsite downtime caused by the client during forensic collection, billed at 50% of the applicable forensic hourly rate.",,Services,true,true,false,Forensic Data Collection - Downtime,KLD-FOR-DOWNTIME,h,,KLD-FOR-DOWNTIME,,h
PC-KLD-FORENS,false,,"Remote mobile device collection billed hourly, including a 2-hour minimum.",,Services,true,true,false,RMDC - Remote Mobile Device Collection (Hourly),KLD-RMDC-HR,h,,KLD-RMDC-HR,,h
PC-KLD-FORENS,false,,"Flat-fee remote mobile device collection package including imaging, media, and shipping.",,Services,true,true,false,RMDC - Remote Mobile Device Collection (Flat),KLD-RMDC-FLAT,,,KLD-RMDC-FLAT,,EACH
PC-KLD-FORENS,false,,"RCMgr self-collection kit for computers, including drive image and shipping.",,Services,true,true,false,RCMgr Self Collection Computer,KLD-RCMGR-PC,,,KLD-RCMGR-PC,,EACH
PC-KLD-FORENS,false,,"RCMgr self-collection kit for servers, including drive image and shipping.",,Services,true,true,false,RCMgr Self Collection Server,KLD-RCMGR-SRV,,,KLD-RCMGR-SRV,,EACH
PC-KLD-FORENS,false,,Decryption fee for native delivery of collected data. Fee is waived when data is processed by KLDiscovery.,,Services,true,true,false,RCMgr Drive Decryption,KLD-RCMGR-DECRYPT,,,KLD-RCMGR-DECRYPT,,EACH
PC-KLD-FORENS,false,,"In-lab computer forensic analysis including preservation, recovery, listings, and related deliverables.",,Services,true,true,false,Forensic Analysis,KLD-FOR-ANALYSIS,h,,KLD-FOR-ANALYSIS,,h
PC-KLD-FORENS,false,,"Travel time billed at 50% of the applicable service hourly rate (capped at $1,000 per day).",,Services,true,true,false,Travel Time,KLD-TRAVEL-TIME,h,,KLD-TRAVEL-TIME,,h
PC-KLD-FORENS,false,,"Travel-related expenses (hotel, meals, etc.) billed at actual cost.",,Services,true,true,false,Travel Expense,KLD-TRAVEL-EXP,,,KLD-TRAVEL-EXP,,USD
PC-KLD-AI,false,,"Advanced analytics, AI, and GenAI for deep insight into target data sets during Early Case Assessment (ECA), supporting intelligent data reduction.",,Software,true,true,false,eDiscovery AI - Early Case Insight (Core),KLD-AI-ECI-CORE,,,KLD-AI-ECI-CORE,,DOC-RUN
